threads,processes,griddim,blocos,duration,io_alocation
0,0,1,16,4.015288,4.238663
0,0,1,16,4.012481,4.239575
0,0,1,16,4.016566,4.249609
0,0,1,16,4.014597,4.253931
0,0,1,16,4.012993,4.238257
0,0,1,16,4.016779,4.128568
0,0,1,32,3.999968,4.121307
0,0,1,32,4.000116,4.212398
0,0,1,32,4.004029,4.222704
0,0,1,32,4.001639,4.214974
0,0,1,32,4.000449,4.235532
0,0,1,32,4.002088,4.22934
0,0,1,32,4.001733,4.22191
0,0,1,32,4.001004,4.220692
0,0,1,32,4.003283,4.237064
0,0,1,32,4.002968,4.228847
0,0,1,32,4.002738,4.132306
0,0,1,32,3.989415,4.108419
0,0,1,32,3.999552,4.120834
0,0,1,32,3.99973,4.223895
0,0,1,32,4.000463,4.121772
0,0,2,1,146.697574,146.812453
0,0,2,1,145.927875,146.149584
0,0,2,1,145.946194,146.165801
0,0,2,1,146.903534,147.023591
0,0,2,1,147.874001,148.114092
0,0,2,1,145.965628,146.194651
0,0,2,1,146.162614,146.277862
0,0,2,1,145.962485,146.193893
0,0,2,1,145.969955,146.192599
0,0,2,1,145.954988,146.18341
0,0,2,1,145.946255,146.181671
0,0,2,1,145.972232,146.183181
0,0,2,1,145.945643,146.061372
0,0,2,1,146.248215,146.364335
0,0,2,1,145.941446,146.164303
0,0,2,2,42.527869,42.666898
0,0,2,2,47.87187,48.143178
0,0,2,2,39.511995,39.753705
0,0,2,2,39.526381,39.748183
0,0,2,2,38.827859,39.048942
0,0,2,2,40.59035,40.809232
0,0,2,2,40.259869,40.498757
0,0,2,2,39.198497,39.439784
0,0,2,2,41.542405,41.793216
0,0,2,2,39.66808,39.901821
0,0,2,2,39.073295,39.310342
0,0,2,2,38.209812,38.437916
0,0,2,2,38.22419,38.448906
0,0,2,2,38.211546,38.440097
0,0,2,2,38.223064,38.446772
0,0,2,4,9.999174,10.113301
0,0,2,4,9.602712,9.717848
0,0,2,4,9.891458,10.016915
0,0,2,4,9.644548,9.921011
0,0,2,4,9.753797,9.863088
0,0,2,4,9.727857,9.940869
0,0,2,4,9.587071,9.80181
0,0,2,4,9.572827,9.686306
0,0,2,4,9.586896,9.698829
0,0,2,4,9.594546,9.822687
0,0,2,4,9.58634,9.696522
0,0,2,4,9.583939,9.704609
0,0,2,4,9.588004,9.814681
0,0,2,4,9.588657,9.813687
0,0,2,4,9.587752,9.803952
0,0,2,8,2.44929,2.669922
0,0,2,8,2.431336,2.658864
0,0,2,8,2.446873,2.666719
0,0,2,8,2.446826,2.5677
0,0,2,8,2.433518,2.656403
0,0,2,8,2.446426,2.566455
0,0,2,8,2.446479,2.556407
0,0,2,8,2.44695,2.671179
0,0,2,8,2.446641,2.666492
0,0,2,8,2.447364,2.664787
0,0,2,8,2.444656,2.553387
0,0,2,8,2.441019,2.672386
0,0,2,8,2.440979,2.553998
0,0,2,8,2.444493,2.671196
0,0,2,8,2.425428,2.64515
0,0,2,16,2.0118,2.241576
0,0,2,16,2.010383,2.222636
0,0,2,16,2.009959,2.223815
0,0,2,16,2.010217,2.226867
0,0,2,16,2.010146,2.238849
0,0,2,16,2.01049,2.243513
0,0,2,16,2.00996,2.232006
0,0,2,16,2.012355,2.232635
0,0,2,16,2.010422,2.235944
0,0,2,16,2.009967,2.234983
